
0it [00:00, ?it/s]
2270it [01:48, 20.99it/s]
2274it [01:48, 15.23it/s]
2277it [01:49, 14.84it/s]
2281it [01:49, 17.58it/s]
2284it [01:49, 16.72it/s]
2287it [01:49, 19.28it/s]
2290it [01:49, 20.59it/s]
2293it [01:50,  6.39it/s]
2296it [01:51,  8.28it/s]
2299it [01:51, 10.43it/s]
2302it [01:51, 12.52it/s]
2306it [01:51, 15.43it/s]
2310it [01:51, 17.99it/s]
2313it [01:51, 19.28it/s]
2316it [01:51, 21.08it/s]
2320it [01:51, 23.57it/s]
2324it [01:52, 25.69it/s]
2327it [01:52, 25.79it/s]
2331it [01:52, 27.82it/s]
2336it [01:52, 30.92it/s]
2340it [01:52, 30.25it/s]
2344it [01:52, 31.58it/s]
2348it [01:52, 19.45it/s]
2351it [01:54,  6.82it/s]
2354it [01:54,  7.95it/s]
2357it [01:54, 10.18it/s]
2361it [01:54, 12.74it/s]
2364it [01:54, 14.55it/s]
2367it [01:54, 15.55it/s]
2371it [01:54, 18.21it/s]
2374it [01:55, 19.99it/s]
2377it [01:55, 21.83it/s]
2380it [01:55, 23.59it/s]
2385it [01:55, 26.96it/s]
2389it [01:55, 29.39it/s]
2393it [01:55, 28.51it/s]
2397it [01:55, 28.65it/s]
2401it [01:55, 27.67it/s]
2404it [01:56, 26.46it/s]
2408it [01:56, 29.16it/s]
2412it [01:56, 29.78it/s]
2416it [01:56, 26.95it/s]
2419it [01:56, 15.17it/s]
2422it [01:57, 17.61it/s]
2425it [01:57, 20.00it/s]
2428it [01:57, 19.03it/s]
2431it [01:57, 15.51it/s]
2433it [01:57, 15.29it/s]
2437it [01:57, 17.83it/s]
2441it [01:57, 20.92it/s]
2444it [01:58, 21.75it/s]
2447it [01:58, 22.65it/s]
2451it [01:58, 25.01it/s]
2454it [01:58, 25.49it/s]
2457it [01:58, 26.19it/s]
2461it [01:58, 27.82it/s]
2464it [01:58, 28.02it/s]
2467it [01:58, 27.45it/s]
2470it [01:59, 25.04it/s]
2473it [01:59, 13.49it/s]
2476it [01:59, 11.38it/s]
2478it [02:00, 12.22it/s]
2480it [02:00, 12.94it/s]
2484it [02:00, 15.57it/s]
2487it [02:00, 16.19it/s]
2489it [02:00, 16.44it/s]
2491it [02:00, 15.76it/s]
2493it [02:00, 15.55it/s]
2497it [02:00, 18.35it/s]
2501it [02:01, 20.12it/s]
2505it [02:01, 22.28it/s]
2508it [02:01, 18.70it/s]
2512it [02:01, 17.91it/s]
2515it [02:01, 17.79it/s]
2519it [02:02, 19.80it/s]
2522it [02:02, 19.92it/s]
2526it [02:02, 22.60it/s]
2529it [02:02, 24.38it/s]
2532it [02:02, 19.31it/s]
2535it [02:02, 20.82it/s]
2538it [02:02, 21.85it/s]
2542it [02:03, 23.84it/s]
2545it [02:03, 21.56it/s]
2549it [02:03, 19.75it/s]
2553it [02:03, 22.07it/s]
2556it [02:03, 23.13it/s]
2559it [02:03, 24.67it/s]
2562it [02:03, 24.85it/s]
2565it [02:04, 22.83it/s]
2568it [02:04, 23.70it/s]
2572it [02:04, 26.70it/s]
2576it [02:04, 29.39it/s]
2580it [02:04, 27.67it/s]
2583it [02:04, 28.15it/s]
2587it [02:04, 29.71it/s]
2591it [02:04, 30.03it/s]
2595it [02:04, 32.10it/s]
2599it [02:05, 30.13it/s]
2603it [02:05, 31.09it/s]
2607it [02:05, 33.16it/s]
2611it [02:05, 32.36it/s]
2615it [02:05, 26.21it/s]
2618it [02:05, 19.05it/s]
2621it [02:06, 19.58it/s]
2624it [02:06, 13.88it/s]
2628it [02:06, 17.18it/s]
2632it [02:06, 20.15it/s]
