
0it [00:00, ?it/s]
26946it [00:49, 651.99it/s]
27012it [00:49, 589.56it/s]
27082it [00:49, 616.88it/s]
27151it [00:49, 636.96it/s]
27219it [00:49, 636.95it/s]
27290it [00:49, 656.38it/s]
27360it [00:49, 667.48it/s]
27428it [00:49, 659.56it/s]
27497it [00:49, 667.54it/s]
27565it [00:50, 652.94it/s]
27635it [00:50, 666.08it/s]
27702it [00:50, 659.19it/s]
27770it [00:50, 664.76it/s]
27839it [00:50, 671.24it/s]
27907it [00:50, 659.48it/s]
27979it [00:50, 673.89it/s]
28047it [00:50, 656.73it/s]
28116it [00:50, 664.16it/s]
28185it [00:50, 669.41it/s]
28255it [00:51, 677.49it/s]
28323it [00:51, 660.57it/s]
28391it [00:51, 666.24it/s]
28458it [00:51, 653.55it/s]
28527it [00:51, 663.72it/s]
28594it [00:51, 657.28it/s]
28665it [00:51, 670.43it/s]
28733it [00:51, 668.24it/s]
28800it [00:51, 647.88it/s]
28869it [00:51, 658.06it/s]
28937it [00:52, 662.58it/s]
29004it [00:52, 655.52it/s]
29073it [00:52, 664.58it/s]
29140it [00:52, 657.28it/s]
29209it [00:52, 666.14it/s]
29279it [00:52, 673.44it/s]
29348it [00:52, 676.30it/s]
29416it [00:52, 661.09it/s]
29486it [00:52, 669.72it/s]
29554it [00:52, 672.48it/s]
29622it [00:53, 661.17it/s]
29691it [00:53, 669.09it/s]
29759it [00:53, 660.77it/s]
29830it [00:53, 673.63it/s]
29898it [00:53, 657.92it/s]
29970it [00:53, 672.84it/s]
30039it [00:53, 676.05it/s]
30107it [00:53, 666.76it/s]
30176it [00:53, 673.11it/s]
30244it [00:54, 656.25it/s]
30310it [00:54, 656.47it/s]
30376it [00:54, 648.78it/s]
30446it [00:54, 663.02it/s]
30513it [00:54, 645.69it/s]
30581it [00:54, 654.15it/s]
30647it [00:54, 641.27it/s]
30712it [00:54, 629.43it/s]
30782it [00:54, 648.40it/s]
30848it [00:54, 641.53it/s]
30917it [00:55, 654.39it/s]
30983it [00:55, 647.53it/s]
31053it [00:55, 661.30it/s]
31120it [00:55, 649.77it/s]
31186it [00:55, 639.46it/s]
31251it [00:55, 628.25it/s]
31317it [00:55, 635.96it/s]
31381it [00:55, 628.31it/s]
31453it [00:55, 650.44it/s]
31522it [00:56, 659.87it/s]
31589it [00:56, 650.87it/s]
31659it [00:56, 664.46it/s]
31729it [00:56, 673.24it/s]
31797it [00:56, 664.25it/s]
31867it [00:56, 673.50it/s]
31935it [00:56, 661.51it/s]
32006it [00:56, 675.10it/s]
32074it [00:56, 658.28it/s]
32141it [00:56, 660.30it/s]
32209it [00:57, 664.48it/s]
32276it [00:57, 652.60it/s]
32347it [00:57, 666.72it/s]
32416it [00:57, 673.11it/s]
32484it [00:57, 658.36it/s]
32554it [00:57, 668.31it/s]
32621it [00:57, 660.05it/s]
32691it [00:57, 669.65it/s]
32761it [00:57, 677.89it/s]
32829it [00:57, 665.28it/s]
32896it [00:58, 666.18it/s]
32963it [00:58, 608.65it/s]
33025it [00:58, 609.28it/s]
33093it [00:58, 627.48it/s]
33160it [00:58, 638.99it/s]
33225it [00:58, 634.53it/s]
33294it [00:58, 649.04it/s]
33360it [00:58, 646.79it/s]
33428it [00:58, 654.92it/s]
33494it [00:59, 642.68it/s]
33562it [00:59, 650.78it/s]
33632it [00:59, 662.50it/s]
33702it [00:59, 670.84it/s]
33770it [00:59, 661.81it/s]
33839it [00:59, 667.04it/s]
33906it [00:59, 655.22it/s]
33977it [00:59, 669.22it/s]
34047it [00:59, 676.25it/s]
34115it [00:59, 661.70it/s]
34182it [01:00, 662.01it/s]
34249it [01:00, 655.18it/s]
34318it [01:00, 663.17it/s]
34385it [01:00, 657.48it/s]
34456it [01:00, 671.41it/s]
34526it [01:00, 678.28it/s]
34594it [01:00, 678.28it/s]
34665it [01:00, 686.40it/s]
34734it [01:00, 669.74it/s]
34802it [01:00, 658.76it/s]
34871it [01:01, 666.25it/s]
34939it [01:01, 668.85it/s]
35006it [01:01, 661.75it/s]
35076it [01:01, 670.23it/s]
35144it [01:01, 673.09it/s]
35212it [01:01, 661.89it/s]
35281it [01:01, 668.35it/s]
35351it [01:01, 676.66it/s]
35419it [01:01, 665.08it/s]
35486it [01:01, 662.98it/s]
35555it [01:02, 670.52it/s]
35623it [01:02, 657.07it/s]
35692it [01:02, 665.75it/s]
35764it [01:02, 678.98it/s]
35833it [01:02, 667.32it/s]
35903it [01:02, 676.17it/s]
35971it [01:02, 665.44it/s]
36040it [01:02, 671.78it/s]
36110it [01:02, 679.88it/s]
36179it [01:03, 664.25it/s]
36250it [01:03, 675.53it/s]
36320it [01:03, 682.55it/s]
36389it [01:03, 654.40it/s]
36458it [01:03, 663.83it/s]
36528it [01:03, 671.87it/s]
36596it [01:03, 662.78it/s]
36666it [01:03, 672.79it/s]
36734it [01:03, 624.14it/s]
36800it [01:03, 634.23it/s]
36865it [01:04, 637.88it/s]
36930it [01:04, 624.59it/s]
37000it [01:04, 644.66it/s]
37069it [01:04, 657.33it/s]
37138it [01:04, 665.93it/s]
37205it [01:04, 659.81it/s]
37275it [01:04, 669.15it/s]
37343it [01:04, 646.79it/s]
37414it [01:04, 664.38it/s]
37482it [01:05, 668.44it/s]
37552it [01:05, 676.97it/s]
37620it [01:05, 664.47it/s]
37691it [01:05, 676.19it/s]
37762it [01:05, 683.77it/s]
37831it [01:05, 660.60it/s]
37900it [01:05, 667.29it/s]
37971it [01:05, 676.88it/s]
38039it [01:05, 663.23it/s]
38108it [01:05, 670.72it/s]
38176it [01:06, 662.04it/s]
38245it [01:06, 668.35it/s]
38312it [01:06, 650.37it/s]
38379it [01:06, 651.10it/s]
38445it [01:06, 651.50it/s]
38511it [01:06, 644.99it/s]
38580it [01:06, 656.67it/s]
38646it [01:06, 644.25it/s]
38718it [01:06, 663.15it/s]
38785it [01:07, 601.35it/s]
38847it [01:07, 602.44it/s]
38918it [01:07, 628.97it/s]
38983it [01:07, 634.11it/s]
39054it [01:07, 652.80it/s]
39120it [01:07, 645.48it/s]
39191it [01:07, 662.54it/s]
39258it [01:07, 652.81it/s]
